n, fi por sucesion, fi por formula, |fi_sucesion - fi_formula|, |fi_sucesion - fi_exacto|,  |fi_formula - fi_exacto|
1,2,2,0,0.3819660112501051,0.3819660112501051
2,1.5,1.5,0,0.1180339887498949,0.1180339887498949
3,1.666666666666667,1.666666666666667,0,0.04863267791677184,0.04863267791677184
4,1.6,1.6,0,0.01803398874989481,0.01803398874989481
5,1.625,1.625,0,0.006966011250105097,0.006966011250105097
6,1.615384615384615,1.615384615384615,0,0.002649373365279484,0.002649373365279484
7,1.619047619047619,1.619047619047619,0,0.001013630297724166,0.001013630297724166
8,1.617647058823529,1.617647058823529,0,0.0003869299263654646,0.0003869299263654646
9,1.618181818181818,1.618181818181818,0,0.0001478294319232631,0.0001478294319232631
10,1.617977528089888,1.617977528089888,0,5.646066000730698e-05,5.646066000730698e-05
11,1.618055555555556,1.618055555555556,0,2.15668056606777e-05,2.15668056606777e-05
12,1.618025751072961,1.618025751072961,0,8.237676933475768e-06,8.237676933475768e-06
13,1.618037135278515,1.618037135278515,0,3.146528619657474e-06,3.146528619657474e-06
14,1.618032786885246,1.618032786885246,0,1.201864648914253e-06,1.201864648914253e-06
15,1.618034447821682,1.618034447821682,0,4.590717870289751e-07,4.590717870289751e-07
16,1.618033813400125,1.618033813400125,0,1.753497695933248e-07,1.753497695933248e-07
17,1.618034055727554,1.618034055727554,0,6.697765919660981e-08,6.697765919660981e-08
18,1.618033963166706,1.618033963166706,0,2.558318845657936e-08,2.558318845657936e-08
19,1.618033998521803,1.618033998521803,0,9.771908393574336e-09,9.771908393574336e-09
20,1.618033985017358,1.618033985017358,0,3.732536946188247e-09,3.732536946188247e-09
21,1.618033990175597,1.618033990175597,0,1.425702222945802e-09,1.425702222945802e-09
22,1.618033988205325,1.618033988205325,0,5.445699446937624e-10,5.445699446937624e-10
23,1.618033988957902,1.618033988957902,0,2.080071670462758e-10,2.080071670462758e-10
